longitude,latitude,depth,density,variance
106.5,30.0,2.5,2.6570517,0.0078150768
107.0,30.0,2.5,2.643142,0.0085968703
96.0,30.5,2.5,2.6686664,0.0085972653
96.5,30.5,2.5,2.6250998,0.0078157239
97.0,30.5,2.5,2.6267458,0.007753548
97.5,30.5,2.5,2.6286124,0.0077407727
98.0,30.5,2.5,2.6188481,0.0077345213
98.5,30.5,2.5,2.6026028,0.0077318987
99.0,30.5,2.5,2.6162943,0.0077306627
99.5,30.5,2.5,2.6240608,0.007730122
100.0,30.5,2.5,2.6476083,0.0077298619
100.5,30.5,2.5,2.6332255,0.0077297464
101.0,30.5,2.5,2.6020686,0.0077296949
101.5,30.5,2.5,2.6565235,0.0077296808
102.0,30.5,2.5,2.6199529,0.0077296948
102.5,30.5,2.5,2.6305684,0.0077297459
103.0,30.5,2.5,2.6455291,0.0077298614
103.5,30.5,2.5,2.6272588,0.0077301201
104.0,30.5,2.5,2.6515832,0.0077306604
104.5,30.5,2.5,2.6473625,0.0077318914
105.0,30.5,2.5,2.6535206,0.0077345149
105.5,30.5,2.5,2.6461929,0.0077407601
106.0,30.5,2.5,2.6587625,0.0077536042
106.5,30.5,2.5,2.6662427,0.0078159755
107.0,30.5,2.5,2.648339,0.0085986502
96.0,31.0,2.5,2.6563131,0.0086061599
96.5,31.0,2.5,2.5889611,0.0078187014
97.0,31.0,2.5,2.5919501,0.007754609
97.5,31.0,2.5,2.594255,0.0077408315
98.0,31.0,2.5,2.6066898,0.007734134
98.5,31.0,2.5,2.6166388,0.007731344
99.0,31.0,2.5,2.5978003,0.0077300511
99.5,31.0,2.5,2.6188827,0.0077294957
100.0,31.0,2.5,2.6291004,0.007729233
100.5,31.0,2.5,2.6040723,0.0077291174
101.0,31.0,2.5,2.5877985,0.0077290664
101.5,31.0,2.5,2.6307277,0.0077290525
102.0,31.0,2.5,2.6169191,0.0077290663
102.5,31.0,2.5,2.6264202,0.0077291169
103.0,31.0,2.5,2.6338901,0.0077292324
103.5,31.0,2.5,2.6219058,0.0077294938
104.0,31.0,2.5,2.6806337,0.0077300492
104.5,31.0,2.5,2.6534276,0.0077313377
105.0,31.0,2.5,2.6611735,0.0077341307
105.5,31.0,2.5,2.6561914,0.0077408253
106.0,31.0,2.5,2.6493891,0.0077546721
106.5,31.0,2.5,2.6583024,0.0078189366
107.0,31.0,2.5,2.6619855,0.0086073755
96.0,31.5,2.5,2.6348713,0.00865378
96.5,31.5,2.5,2.5718765,0.0078741561
97.0,31.5,2.5,2.5775182,0.0078069958
97.5,31.5,2.5,2.6014378,0.007790778
98.0,31.5,2.5,2.5881084,0.0077832018
98.5,31.5,2.5,2.6032159,0.0077801698
99.0,31.5,2.5,2.5903962,0.0077788389
99.5,31.5,2.5,2.6342797,0.0077782742
100.0,31.5,2.5,2.614306,0.0077780149
100.5,31.5,2.5,2.6324004,0.0077779009
101.0,31.5,2.5,2.5862744,0.0077778516
101.5,31.5,2.5,2.6033261,0.007777838
102.0,31.5,2.5,2.6393549,0.0077778515
102.5,31.5,2.5,2.6265301,0.0077779004
103.0,31.5,2.5,2.6701257,0.0077780142
103.5,31.5,2.5,2.6358898,0.007778272
104.0,31.5,2.5,2.6469173,0.0077788362
104.5,31.5,2.5,2.6429237,0.0077801625
105.0,31.5,2.5,2.6575829,0.0077831973
105.5,31.5,2.5,2.6573953,0.0077907747
106.0,31.5,2.5,2.6544218,0.0078070752
106.5,31.5,2.5,2.6569973,0.0078744043
107.0,31.5,2.5,2.6579577,0.0086548423
96.0,32.0,2.5,2.6837764,0.0094283489
96.5,32.0,2.5,2.6098894,0.008622409
97.0,32.0,2.5,2.6194422,0.0085627616
97.5,32.0,2.5,2.6403609,0.0085436565
98.0,32.0,2.5,2.6597513,0.0085365958
98.5,32.0,2.5,2.6387077,0.0085337567
99.0,32.0,2.5,2.6336794,0.0085325854
99.5,32.0,2.5,2.663665,0.0085320741
100.0,32.0,2.5,2.657612,0.0085318493
100.5,32.0,2.5,2.6841351,0.0085317481
101.0,32.0,2.5,2.6739542,0.0085317054
101.5,32.0,2.5,2.651906,0.0085316935
102.0,32.0,2.5,2.6061233,0.0085317051
102.5,32.0,2.5,2.6654617,0.0085317474
103.0,32.0,2.5,2.6275086,0.0085318477
103.5,32.0,2.5,2.6687942,0.0085320709
104.0,32.0,2.5,2.6519491,0.0085325781
104.5,32.0,2.5,2.6644897,0.0085337426
105.0,32.0,2.5,2.6842586,0.0085365655
105.5,32.0,2.5,2.668306,0.0085436078
106.0,32.0,2.5,2.6557948,0.0085627119
106.5,32.0,2.5,2.6636608,0.0086225072
107.0,32.0,2.5,2.6397282,0.0094288333
96.0,21.0,7.5,2.7233339,0.01943533
96.5,21.0,7.5,2.7028558,0.019215553
97.0,21.0,7.5,2.7611812,0.019145103
97.5,21.0,7.5,2.6728913,0.019130042
98.0,21.0,7.5,2.7004983,0.019123933
98.5,21.0,7.5,2.6872125,0.019121253
99.0,21.0,7.5,2.6257087,0.019120219
99.5,21.0,7.5,2.757024,0.019119688
100.0,21.0,7.5,2.6926203,0.019119472
100.5,21.0,7.5,2.6479896,0.01911936
101.0,21.0,7.5,2.6921491,0.019119315
101.5,21.0,7.5,2.7268986,0.019119301
102.0,21.0,7.5,2.7940298,0.019119315
102.5,21.0,7.5,2.6493839,0.019119359
103.0,21.0,7.5,2.7227468,0.019119469
103.5,21.0,7.5,2.6255545,0.019119683
104.0,21.0,7.5,2.6326778,0.019120205
104.5,21.0,7.5,2.7433027,0.019121232
105.0,21.0,7.5,2.7093586,0.019123873
105.5,21.0,7.5,2.723145,0.01912994
106.0,21.0,7.5,2.7145053,0.019144794
106.5,21.0,7.5,2.7058375,0.019214983
107.0,21.0,7.5,2.7323735,0.019434065
